kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt
A10021295,경희궁의아침4단지,위탁관리,18,우리관리(주),위탁관리,,성진시스템,위탁관리,6,기타,위탁관리,12,"도포식,분무식",철근콘크리트구조,1700,단일계약,상주선임,R형,부스타방식,위탁관리,8,0,458,유,87,,5~10분이내,,,,,,0,4
A10021652,경희궁파크팰리스,위탁관리,9,,,,,자치관리(직영),4,,위탁관리,,,철근콘크리트구조,1350,종합계약,상주선임,R형,부스타방식,위탁관리,0,0,283,무,158,,5~10분이내,,,,,,0,3
A11007001,경희궁의아침3단지,위탁관리,5,우리관리주식회사,위탁관리,4,에스원,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2150,종합계약,상주선임,R형,부스타방식,위탁관리,5,0,315,무,82,"관리사무소, 주민공동시설",5~10분이내,"3호선, 5호선",경복궁역,5~10분이내,관공서(서울지방경찰청) 병원(곽치과의원) 공원(경희궁공원),초등학교(매동초교) 중학교(배화여중) 고등학교(배화여고) 대학교(배화여대),0,2
A11087101,경희궁의아침2단지,위탁관리(총액관리제),,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,3호선,경복궁역,5~10분이내,관공서(서울지방경찰청) 병원(곽치과의원) 공원(경희궁공원),초등학교(매동초교) 중학교(배화여중) 고등학교(배화여고) 대학교(배화여대),0,0
A11005401,광화문스페이스본 아파트,위탁관리,12,(주)아주관리,위탁관리,16,(주)아주관리,위탁관리,14,거점장비수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,6150,종합계약,상주선임,R형,부스타방식,위탁관리,21,10,1405,유,256,"관리사무소, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,"3호선, 5호선",,5~10분이내,"관공서(서울특별시청, 종로구청) 병원(서대문구보건소, 강북삼성병원, 적십자병원, 천연보건분소) 백화점(경복궁, 경희궁, 덕수궁) 공원(사직공원) 기타(서울시립어린이도서관)","초등학교(매동초,대신초) 중학교(배화여자중,청운중) 고등학교(배화여자고,덕성여고) 대학교(배화여자대,경기대, 상명대)",0,135
A11014001,로얄팰리스스위트,기타,18,,,7,,,9,,,12,,,3200,,,,,,8,388,,,,,,,,,,,0,0
A11034001,현대뜨레비앙,위탁관리,4,인덕종합관리(주),위탁관리,4,인덕종합관리(주),위탁관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구설치식,독이식",철근콘크리트구조,1250,단일계약,위탁선임,GR형,부스타방식,위탁관리,4,0,204,무,56,"관리사무소, 자전거보관소",5~10분이내,"1호선, 3호선, 5호선",종로3가역,5~10분이내,"관공서(종로세무서) 병원(선진한의원) 대형상가(세운상가) 공원(창덕궁, 창경궁, 비원)","초등학교(교동초등학교, 운현초등학교) 대학교(덕성여자대학교교육대학원)",0,0
A10020992,낙원아파트,위탁관리,,주식회사 우창개발,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0
A11041001,효성주얼리시티아파트,위탁관리,6,서일개발(주),위탁관리,6,듀델코리아(주),위탁관리,6,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,2000,종합계약,상주선임,GR형,부스타방식,위탁관리,8,0,428,무,81,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,5~10분이내,"관공서(혜화경찰서) 병원(서울대학병원) 대형상가(효성주얼리씨티) 공원(마로니에공원,창경궁,종묘공원)","초등학교(서울사대부속,효제) 중학교(서울사대부속여) 대학교(서울의과대학,가톨릭대학,한국방송통신대)",0,2
A10027162,포레스트힐시티,위탁관리,3,주식회사 에이치피엠씨,위탁관리,2,휴플러스(주),위탁관리,1,음식물쓰레기종량제,위탁관리,6,"도포식,분무식",철골철근콘크리트구조,500,종합계약,위탁선임,P형,부스타방식,위탁관리,2,3,90,무,32,"관리사무소, 주민공동시설, 자전거보관소",5분이내,1호선,종로 5가역,5~10분이내,병원(서울대 병원),"초등학교(효제초등학교) 대학교(방송통신대, 서울대병원의대)",0,0
A10023586,힐스테이트 창경궁,위탁관리,4,에이제이대원 주식회사,위탁관리(직영+위탁),2,주)에이제이대원,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,12,"도포식,독이식",철골철근콘크리트구조,900,종합계약,위탁선임,R형,부스타방식,위탁관리,4,0,230,유,126,"관리사무소, 커뮤니티공간, 자전거보관소, 기타",5분이내,"1호선, 4호선",,5~10분이내,관공서(이화동사무소) 병원(서울대병원) 백화점(현대아울렛 시티) 대형상가(동대문종합상가) 공원(낙산공원),초등학교(효제초등학교) 중학교(서울사대부속중학교) 고등학교(동성고등학교) 대학교(방송통신대학교),0,3
