date,exchangerate
1981-04-01T00:00:00.000000000,NaN
1981-05-01T00:00:00.000000000,681.91
1981-06-01T00:00:00.000000000,684.37
1981-07-01T00:00:00.000000000,686.47
1981-08-01T00:00:00.000000000,687.81
1981-09-01T00:00:00.000000000,686.7
1981-10-01T00:00:00.000000000,683.81
1981-11-01T00:00:00.000000000,688.56
1981-12-01T00:00:00.000000000,694.68
1982-01-01T00:00:00.000000000,705.17
1982-02-01T00:00:00.000000000,710.06
1982-03-01T00:00:00.000000000,714.68
1982-04-01T00:00:00.000000000,721.03
1982-05-01T00:00:00.000000000,724.35
1982-06-01T00:00:00.000000000,738.3
1982-07-01T00:00:00.000000000,743.06
1982-08-01T00:00:00.000000000,744.45
1982-09-01T00:00:00.000000000,743.61
1982-10-01T00:00:00.000000000,743.65
1982-11-01T00:00:00.000000000,745.6
1982-12-01T00:00:00.000000000,746.36
1983-01-01T00:00:00.000000000,749.8
1983-02-01T00:00:00.000000000,752.19
1983-03-01T00:00:00.000000000,757.94
1983-04-01T00:00:00.000000000,765.29
1983-05-01T00:00:00.000000000,767.96
1983-06-01T00:00:00.000000000,775.82
1983-07-01T00:00:00.000000000,779.88
1983-08-01T00:00:00.000000000,787.19
1983-09-01T00:00:00.000000000,790.83
1983-10-01T00:00:00.000000000,791.37
1983-11-01T00:00:00.000000000,796.32
1983-12-01T00:00:00.000000000,799.24
1984-01-01T00:00:00.000000000,800.33
1984-02-01T00:00:00.000000000,799.12
1984-03-01T00:00:00.000000000,794.51
1984-04-01T00:00:00.000000000,796.41
1984-05-01T00:00:00.000000000,801.55
1984-06-01T00:00:00.000000000,802.2
1984-07-01T00:00:00.000000000,810.96
1984-08-01T00:00:00.000000000,811.42
1984-09-01T00:00:00.000000000,815.82
1984-10-01T00:00:00.000000000,820.04
1984-11-01T00:00:00.000000000,818.89
1984-12-01T00:00:00.000000000,825.74
1985-01-01T00:00:00.000000000,832.17
1985-02-01T00:00:00.000000000,839.16
1985-03-01T00:00:00.000000000,850.71
1985-04-01T00:00:00.000000000,861.21
1985-05-01T00:00:00.000000000,871.11
1985-06-01T00:00:00.000000000,875.0
1985-07-01T00:00:00.000000000,876.46
1985-08-01T00:00:00.000000000,885.1
1985-09-01T00:00:00.000000000,894.05
1985-10-01T00:00:00.000000000,894.5
1985-11-01T00:00:00.000000000,893.35
1985-12-01T00:00:00.000000000,893.13
1986-01-01T00:00:00.000000000,892.75
1986-02-01T00:00:00.000000000,888.57
1986-03-01T00:00:00.000000000,886.66
1986-04-01T00:00:00.000000000,887.95
1986-05-01T00:00:00.000000000,889.1
1986-06-01T00:00:00.000000000,890.74
1986-07-01T00:00:00.000000000,888.59
1986-08-01T00:00:00.000000000,886.45
1986-09-01T00:00:00.000000000,883.06
1986-10-01T00:00:00.000000000,878.81
1986-11-01T00:00:00.000000000,873.54
1986-12-01T00:00:00.000000000,868.43
1987-01-01T00:00:00.000000000,862.87
